item,category,cook,status,price_rescaled,verify,cost,dine_price,dine_net,dine_contrib,dine_cm_pct,online_price,markup_pct,zom_net,zom_contrib,zom_cm_pct,swg_net,swg_contrib,swg_cm_pct,onl_contrib_unit_blended,dine_qty,onl_qty,total_qty,dine_contrib_total,onl_contrib_total,total_contrib
Spl Kesar Rabdi (500 Gms),Mithai,Milk-reduce,,yes,,107.05,400.0,380.95,273.9,71.9,451.0,12.7,233.55,126.5,28.0,267.53,160.48,35.6,134.32,0,10,10,0,1343,1343
Kesar Rasmalai (1 Kg),Mithai,Milk-reduce,,,,213.4,700.0,666.67,453.27,68.0,891.0,27.3,461.41,248.01,27.8,528.54,315.14,35.4,263.45,0,5,5,0,1317,1317
Malpua (desi Ghee) (250 Gms),Mithai,Deep-fry,,yes,,32.8,200.0,190.48,157.68,82.8,235.64,17.8,122.03,89.23,37.9,139.78,106.98,45.4,93.31,0,14,14,0,1306,1306
Plain Rice,Rice,Simmer,,,,16.5,79.0,75.24,58.74,78.1,99.0,25.3,51.27,34.77,35.1,58.73,42.23,42.7,36.49,22,0,22,1292,0,1292
Masala Chaas (250 Ml),Lassi,Assembled,,,,8.0,45.0,42.86,34.86,81.3,,,,,,,,,,37,0,37,1290,0,1290
Chole Bhature Wala Bhojan,Chole Wala,Simmer,,,,33.23,150.0,142.86,109.63,76.7,189.0,26.0,97.88,64.65,34.2,112.11,78.88,41.7,67.92,11,0,11,1206,0,1206
1 Paneer Paratha + Chole/Rajma/Dal/Dal Makhni + Rice,Parathe,Tawa,,,,28.8,199.0,189.52,160.72,84.8,,,,,,,,,,7,0,7,1125,0,1125
Plain Paratha,Parathe,Tawa,,,,9.43,40.0,38.1,28.67,75.2,49.0,22.5,25.38,15.95,32.5,29.07,19.64,40.1,16.8,28,15,43,803,252,1055
Dal Khichdi Tadka,Rice,Simmer,,,,46.39,149.0,141.9,95.51,67.3,179.0,20.1,92.7,46.31,25.9,106.18,59.79,33.4,49.41,11,0,11,1051,0,1051
Moong Dal Halwa (desi Ghee) (500 Gms),Halwa,Milk-reduce,,yes,,80.45,450.0,428.57,348.12,81.2,541.0,20.2,280.16,199.71,36.9,320.92,240.47,44.4,209.08,0,5,5,0,1045,1045
Mathura Ka Peda (500 Gms),Mithai,Milk-reduce,,yes,,149.88,350.0,333.33,183.45,55.0,471.0,34.6,243.91,94.03,20.0,279.4,129.52,27.5,102.19,0,10,10,0,1022,1022
Mathura Ka Peda (1 Kg),Mithai,Milk-reduce,,yes,,299.76,700.0,666.67,366.91,55.0,931.0,33.0,482.13,182.37,19.6,552.27,252.51,27.1,198.5,0,5,5,0,993,993
Chole Chawal,Rice,Simmer,,,,32.33,149.0,141.9,109.57,77.2,179.0,20.1,92.7,60.37,33.7,106.18,73.85,41.3,63.47,8,0,8,877,0,877
Rajma,Rice,Simmer,,,,41.12,119.0,113.33,72.21,63.7,149.0,25.2,77.16,36.04,24.2,88.39,47.27,31.7,38.62,11,2,13,794,77,871
Atta Dahi Poori (5 Pc),Poori Wala,Deep-fry,,,,13.21,60.0,57.14,43.93,76.9,,,,,,,,,,19,0,19,835,0,835
Dal Tadka,Dal,Simmer,,,,25.27,119.0,113.33,88.06,77.7,149.0,25.2,77.16,51.89,34.8,88.39,63.12,42.4,54.47,6,5,11,528,272,800
Thandai (500 Ml),Doodh,Milk-reduce,,,,75.02,150.0,142.86,67.84,47.5,,,,,,,,,,9,0,9,611,0,611
Jalebi Desi Ghee (1 Kg),Mithai,Deep-fry,,,,169.5,600.0,571.43,401.93,70.3,810.0,35.0,419.46,249.96,30.9,480.49,310.99,38.4,264.0,0,2,2,0,528,528
Malpua (desi Ghee) (500 Gms),Mithai,Deep-fry,,yes,,65.6,400.0,380.95,315.35,82.8,451.0,12.7,233.55,167.95,37.2,267.53,201.93,44.8,175.77,0,3,3,0,527,527
Desi Chai,Chai,Boil,,,,7.13,20.0,19.05,11.92,62.6,,,,,,,,,,38,0,38,453,0,453
1 Paneer Paratha + Chole/Rajma/Dal/Dal Makhni + Rice + Raita + Sweet,Parathe,Tawa,,,,28.8,239.0,227.62,198.82,87.3,,,,,,,,,,2,0,2,398,0,398
Unlimited Chole Bhature,Chole Wala,Simmer,,,,33.23,150.0,142.86,109.63,76.7,,,,,,,,,,3,0,3,329,0,329
Extra Kadhi,Kachori Wala,Simmer,,,,3.52,20.0,19.05,15.53,81.5,,,,,,,,,,21,0,21,326,0,326
Dal Fry,Rice,Simmer,,,,34.15,99.0,94.29,60.14,63.8,129.0,30.3,66.8,32.65,25.3,76.52,42.37,32.8,34.89,4,2,6,241,70,311
Paneer Paratha Meal With Sweet,Parathe,Tawa,,,,28.8,,,,,299.0,,154.84,126.04,42.2,177.37,148.57,49.7,131.22,0,2,2,0,262,262
Masala Chaas (500 Ml),Lassi,Assembled,,,,8.0,45.0,42.86,34.86,81.3,,,,,,,,,,6,0,6,209,0,209
Dahi (1kg),Chaat Wala,Deep-fry,,yes,"markup +157% looks like a portion or pack mismatch, confirm before acting",13.41,190.48,181.41,168.0,92.6,490.0,157.2,253.75,240.34,49.0,290.67,277.26,56.6,248.83,1,0,1,185,0,185
Kesar Angoori Rasmalai,Mithai,Milk-reduce,,,,21.34,700.0,666.67,645.33,96.8,,,,,,,,,,0,0,0,161,0,161
1 Plain Paratha + Dal Fry + Rice + Raita + Sweet,Parathe,Tawa,,,,9.43,179.0,170.48,161.05,94.5,229.0,27.9,118.59,109.16,47.7,135.84,126.41,55.2,113.13,0,1,1,0,113,113
Dahi (100 Gms),Chaat Wala,Deep-fry,,,,13.41,,,,,49.0,,25.38,11.97,24.4,29.07,15.66,32.0,12.82,0,6,6,0,77,77
Kulhad Thandai (250 Ml),Doodh,Milk-reduce,,,,75.02,80.0,76.19,1.17,1.5,,,,,,,,,,28,0,28,33,0,33
Special Paneer Bread Pakoda (1 Pc),Snacks,Deep-fry,,,,16.07,50.0,47.62,31.55,66.3,71.0,42.0,36.77,20.7,29.2,42.12,26.05,36.7,21.93,1,0,1,32,0,32
Thandai (250 Ml),Doodh,Milk-reduce,,,,75.02,80.0,76.19,1.17,1.5,112.0,40.0,58.0,-17.02,-15.2,66.44,-8.58,-7.7,-15.08,20,0,20,23,0,23
